"","Ticker","Name","Industry","Weight"
"1","3988.HK","BANK OF CHINA","Financials",2.42
"2","3328.HK","BANKCOMM","Financials",0.43
"3","2628.HK","CHINA LIFE","Financials",1.69
"4","2388.HK","BOC HONG KONG","Financials",0.98
"5","2382.HK","SUNNY OPTICAL","Industrials",0.98
"6","2319.HK","MENGNIU DAIRY","Consumer Staples",1.26
"7","2318.HK","PING AN","Financials",5.91
"8","2313.HK","SHENZHOU INTL","Consumer Discretionary",1.24
"9","2018.HK","AAC TECH","Industrials",0.39
"10","2007.HK","COUNTRY GARDEN","Properties & Construction",0.88
"11","1997.HK","WHARF REIC","Properties & Construction",0.41
"12","1928.HK","SANDS CHINA LTD","Consumer Discretionary",1.16
"13","1398.HK","ICBC","Financials",3.85
"14","1299.HK","AIA","Financials",11.13
"15","1177.HK","SINO BIOPHARM","Healthcare",1.22
"16","1113.HK","CK ASSET","Properties & Construction",1.31
"17","1109.HK","CHINA RES LAND","Properties & Construction",1.38
"18","1093.HK","CSPC PHARMA","Healthcare",1.16
"19","1088.HK","CHINA SHENHUA","Energy",0.53
"20","1044.HK","HENGAN INT'L","Consumer Staples",0.52
"21","1038.HK","CKI HOLDINGS","Utilities",0.33
"22","0941.HK","CHINA MOBILE","Telecommunications",3.99
"23","0939.HK","CCB","Financials",7.13
"24","0883.HK","CNOOC","Energy",1.89
"25","0857.HK","PETROCHINA","Energy",0.68
"26","0823.HK","LINK REIT","Properties & Construction",1.52
"27","0762.HK","CHINA UNICOM","Telecommunications",0.4
"28","0700.HK","TENCENT","Information Technology",11.73
"29","0688.HK","CHINA OVERSEAS","Properties & Construction",1.03
"30","0669.HK","TECHTRONIC IND","Consumer Discretionary",1.73
"31","0388.HK","HKEX","Financials",5.63
"32","0386.HK","SINOPEC CORP","Energy",1.04
"33","0288.HK","WH GROUP","Consumer Staples",0.71
"34","0267.HK","CITIC","Conglomerates",0.62
"35","0175.HK","GEELY AUTO","Consumer Discretionary",1.09
"36","0151.HK","WANT WANT CHINA","Consumer Staples",0.36
"37","0101.HK","HANG LUNG PPT","Properties & Construction",0.53
"38","0083.HK","SINO LAND","Properties & Construction",0.34
"39","0066.HK","MTR CORPORATION","Consumer Discretionary",0.75
"40","0027.HK","GALAXY ENT","Consumer Discretionary",1.59
"41","0019.HK","SWIRE PACIFIC A","Conglomerates",0.25
"42","0017.HK","NEW WORLD DEV","Properties & Construction",0.74
"43","0016.HK","SHK PPT","Properties & Construction",1.45
"44","0012.HK","HENDERSON LAND","Properties & Construction",0.53
"45","0011.HK","HANG SENG BANK","Financials",1.12
"46","0006.HK","POWER ASSETS","Utilities",0.74
"47","0005.HK","HSBC HOLDINGS","Financials",8.4
"48","0003.HK","HK & CHINA GAS","Utilities",1.44
"49","0002.HK","CLP HOLDINGS","Utilities",1.73
"50","0001.HK","CKH HOLDINGS","Conglomerates",1.65
