Ticker,Name
AXP,American Express Co
BAC,Bank of America Corp
BLK,BlackRock Inc
BRK-B,Berkshire Hathaway Inc
C,Citigroup Inc
CB,Chubb Ltd
CIT,CIT Group Inc
CME,CME Group Inc
ESNT,Essent Group Ltd
FHN,First Horizon National Corp
FITB,Fifth Third Bancorp
FRC,First Republic Bank
GS,Goldman Sachs Group Inc
ICE,Intercontinental Exchange Inc
JPM,JPMorgan Chase & Co
KEY,KeyCorp
MMC,Marsh & McLennan Companies Inc
MS,Morgan Stanley
NTRS,Northern Trust Corp
PBCT,People's United Financial Inc
PGR,Progressive Corp
PNC,PNC Financial Services Group Inc
RF,Regions Financial Corp
SIVB,SVB Financial Group
SPGI,S&P Global Inc
TFC,Truist Financial Corp
USB,U.S. Bancorp
VOYA,Voya Financial Inc
WFC,Wells Fargo & Co
